,,,,,,,,,,,Passing,,,,,,,,,,,Rushing,,,,Receiving,,,,,,,Scoring,,Fumbles,,,,,,Off. Snaps,,Def. Snaps,,ST Snaps,,
Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2014,9/7/14,1,1,23.163,OAK,@,NYJ,L 14-19,*,20,32,62.5,151,2,0,94.7,2,18,4.72,5.97,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,1,0,0,52,100%,0,0%,0,0%,
2,2014,9/14/14,2,2,23.17,OAK,,HOU,L 14-30,*,27,42,64.29,263,1,2,69.8,0,0,6.26,4.6,4,58,14.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
3,2014,9/21/14,3,3,23.177,OAK,@,NWE,L 9-16,*,21,34,61.76,174,0,1,62.6,0,0,5.12,3.79,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,
4,2014,9/28/14,4,4,23.184,OAK,,MIA,L 14-38,*,16,25,64,146,1,1,76.4,1,3,5.84,4.84,2,9,4.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,41,63%,0,0%,0,0%,
5,2014,10/12/14,5,6,23.198,OAK,,SDG,L 28-31,*,18,34,52.94,282,4,1,107.7,0,0,8.29,9.32,1,2,2,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,
6,2014,10/19/14,6,7,23.205,OAK,,ARI,L 13-24,*,16,28,57.14,173,0,0,75.4,1,9,6.18,6.18,2,2,1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,51,100%,0,0%,0,0%,
7,2014,10/26/14,7,8,23.212,OAK,@,CLE,L 13-23,*,34,54,62.96,328,1,0,86,4,17,6.07,6.44,1,2,2,0,1,0,0,,0,0.00%,0,0,0,2,1,0,0,0,0,82,100%,0,0%,0,0%,
8,2014,11/2/14,8,9,23.219,OAK,@,SEA,L 24-30,*,24,41,58.54,194,2,2,66.5,1,5,4.73,3.51,2,9,4.5,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,61,100%,0,0%,0,0%,
9,2014,11/9/14,9,10,23.226,OAK,,DEN,L 17-41,*,30,47,63.83,192,2,2,68.8,0,0,4.09,3.02,0,0,,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,0,0,63,100%,0,0%,0,0%,
10,2014,11/16/14,10,11,23.233,OAK,@,SDG,L 6-13,*,16,34,47.06,172,0,0,62.4,2,10,5.06,5.06,2,0,0,0,0,0,0,,0,0.00%,,0,0,2,1,0,1,-2,0,58,100%,0,0%,0,0%,
11,2014,11/20/14,11,12,23.237,OAK,,KAN,W 24-20,*,18,35,51.43,174,1,0,75.2,1,2,4.97,5.54,3,2,0.67,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
12,2014,11/30/14,12,13,23.247,OAK,@,STL,L 0-52,*,24,39,61.54,173,0,2,50.5,3,23,4.44,2.13,1,1,1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,59,76%,0,0%,0,0%,
13,2014,12/7/14,13,14,23.254,OAK,,SFO,W 24-13,*,22,28,78.57,254,3,0,140.2,1,9,9.07,11.21,2,2,1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
14,2014,12/14/14,14,15,23.261,OAK,@,KAN,L 13-31,*,27,56,48.21,222,1,0,64.7,4,20,3.96,4.32,1,0,0,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,-3,0,81,100%,0,0%,0,0%,
15,2014,12/21/14,15,16,23.268,OAK,,BUF,W 26-24,*,17,34,50,214,2,0,89.6,1,7,6.29,7.47,4,0,0,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,-4,0,72,100%,0,0%,0,0%,
16,2014,12/28/14,16,17,23.275,OAK,@,DEN,L 14-47,*,18,36,50,158,1,1,59.7,3,26,4.39,3.69,3,6,2,0,0,0,0,,0,0.00%,,0,0,2,1,0,0,-21,0,58,100%,0,0%,0,0%,
17,2015,9/13/15,1,1,24.169,OAK,,CIN,L 13-33,*,7,12,58.33,61,0,0,71.9,0,0,5.08,5.08,1,8,8,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,23,37%,0,0%,0,0%,
18,2015,9/20/15,2,2,24.176,OAK,,BAL,W 37-33,*,30,46,65.22,351,3,1,100.9,1,0,7.63,7.96,2,23,11.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,
19,2015,9/27/15,3,3,24.183,OAK,@,CLE,W 27-20,*,20,32,62.5,314,2,0,115.9,0,0,9.81,11.06,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
20,2015,10/4/15,4,4,24.19,OAK,@,CHI,L 20-22,*,20,33,60.61,196,2,1,84.9,2,23,5.94,5.79,1,0,0,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,-9,0,58,100%,0,0%,0,0%,
21,2015,10/11/15,5,5,24.197,OAK,,DEN,L 10-16,*,26,39,66.67,249,1,1,82.1,4,26,6.38,5.74,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,70,100%,0,0%,0,0%,
22,2015,10/25/15,6,7,24.211,OAK,@,SDG,W 37-29,*,24,31,77.42,289,3,0,137.7,1,7,9.32,11.26,2,3,1.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
23,2015,11/1/15,7,8,24.218,OAK,,NYJ,W 34-20,*,23,36,63.89,333,4,0,130.9,0,0,9.25,11.47,2,-2,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
24,2015,11/8/15,8,9,24.225,OAK,@,PIT,L 35-38,*,24,44,54.55,301,4,1,96.9,0,0,6.84,7.64,2,3,1.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
25,2015,11/15/15,9,10,24.232,OAK,,MIN,L 14-30,*,29,43,67.44,302,2,2,83.7,2,15,7.02,5.86,2,12,6,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
26,2015,11/22/15,10,11,24.239,OAK,@,DET,L 13-18,*,13,25,52,169,0,0,73.6,1,5,6.76,6.76,1,8,8,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,51,100%,0,0%,0,0%,
27,2015,11/29/15,11,12,24.246,OAK,@,TEN,W 24-21,*,24,37,64.86,330,3,0,120.3,1,7,8.92,10.54,4,5,1.25,0,0,0,0,,0,0.00%,,0,0,2,1,0,1,-4,0,70,99%,0,0%,0,0%,
28,2015,12/6/15,12,13,24.253,OAK,,KAN,L 20-34,*,31,48,64.58,283,2,3,68.3,4,21,5.9,3.92,0,0,,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,0,0,79,100%,0,0%,0,0%,
29,2015,12/13/15,13,14,24.26,OAK,@,DEN,W 15-12,*,12,29,41.38,135,2,0,79,3,36,4.66,6.03,4,-4,-1,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,57,100%,0,0%,0,0%,
30,2015,12/20/15,14,15,24.267,OAK,,GNB,L 20-30,*,23,47,48.94,276,2,2,63.8,3,24,5.87,4.81,4,42,10.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,
31,2015,12/24/15,15,16,24.271,OAK,,SDG,W 23-20,*,23,38,60.53,204,1,1,72.7,3,29,5.37,4.71,4,30,7.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
32,2015,1/3/16,16,17,24.281,OAK,@,KAN,L 17-23,*,21,33,63.64,194,1,1,77.1,6,37,5.88,5.12,2,12,6,0,0,0,0,,0,0.00%,,0,0,2,0,0,0,0,0,57,100%,0,0%,0,0%,
33,2016,9/11/16,1,1,25.167,OAK,@,NOR,W 35-34,*,24,38,63.16,319,1,0,98.5,0,0,8.39,8.92,2,16,8,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
34,2016,9/18/16,2,2,25.174,OAK,,ATL,L 28-35,*,34,45,75.56,299,3,0,115,1,0,6.64,7.98,2,10,5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,-7,0,75,100%,0,0%,0,0%,
35,2016,9/25/16,3,3,25.181,OAK,@,TEN,W 17-10,*,21,35,60,249,1,1,79.3,1,4,7.11,6.4,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
36,2016,10/2/16,4,4,25.188,OAK,@,BAL,W 28-27,*,25,35,71.43,199,4,0,123.4,0,0,5.69,7.97,3,-2,-0.67,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,
37,2016,10/9/16,5,5,25.195,OAK,,SDG,W 34-31,*,25,40,62.5,317,2,1,93.4,3,17,7.93,7.8,2,13,6.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,72,99%,0,0%,0,0%,
38,2016,10/16/16,6,6,25.202,OAK,,KAN,L 10-26,*,22,34,64.71,225,1,1,81.1,2,4,6.62,5.88,3,8,2.67,0,0,0,0,,0,0.00%,,0,0,2,1,0,0,-3,0,55,100%,0,0%,0,0%,
39,2016,10/23/16,7,7,25.209,OAK,@,JAX,W 33-16,*,23,37,62.16,200,1,0,85.4,0,0,5.41,5.95,4,4,1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
40,2016,10/30/16,8,8,25.216,OAK,@,TAM,W 30-24,*,40,59,67.8,513,4,0,117.4,2,15,8.69,10.05,1,13,13,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,94,100%,0,0%,0,0%,
41,2016,11/6/16,9,9,25.223,OAK,,DEN,W 30-20,*,20,31,64.52,184,0,0,80.6,2,5,5.94,5.94,4,3,0.75,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,88,100%,0,0%,0,0%,
42,2016,11/21/16,10,11,25.238,OAK,,HOU,W 27-20,*,21,31,67.74,295,3,1,117,0,0,9.52,10,2,-2,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,
43,2016,11/27/16,11,12,25.244,OAK,,CAR,W 35-32,*,26,38,68.42,315,2,1,100.2,1,5,8.29,8.16,5,-12,-2.4,0,0,0,0,,0,0.00%,,0,0,2,1,0,0,-1,0,70,95%,0,0%,0,0%,
44,2016,12/4/16,12,13,25.251,OAK,,BUF,W 38-24,*,19,35,54.29,260,2,0,97.3,0,0,7.43,8.57,2,4,2,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
45,2016,12/8/16,13,14,25.255,OAK,@,KAN,L 13-21,*,17,41,41.46,117,0,0,49.1,1,8,2.85,2.85,2,3,1.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
46,2016,12/18/16,14,15,25.265,OAK,@,SDG,W 19-16,*,19,30,63.33,213,1,1,81.7,2,13,7.1,6.27,5,5,1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
47,2016,12/24/16,15,16,25.271,OAK,,IND,W 33-25,*,21,31,67.74,232,3,0,122,1,8,7.48,9.42,1,8,8,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,63,83%,0,0%,0,0%,
48,2016,1/1/17,,17,,OAK,@,DEN,L 6-24,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2017,9/10/17,1,1,26.166,OAK,@,TEN,W 26-16,*,22,32,68.75,262,2,0,114.3,2,12,8.19,9.44,2,2,1,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,66,100%,0,0%,0,0%,
50,2017,9/17/17,2,2,26.173,OAK,,NYJ,W 45-20,*,23,28,82.14,230,3,0,136.6,0,0,8.21,10.36,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,
51,2017,9/24/17,3,3,26.18,OAK,@,WAS,L 10-27,*,19,31,61.29,118,1,2,52.9,4,22,3.81,1.55,2,5,2.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,51,100%,0,0%,0,0%,
52,2017,10/1/17,4,4,26.187,OAK,@,DEN,L 10-16,*,10,18,55.56,143,1,0,100,2,12,7.94,9.06,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,34,63%,0,0%,0,0%,
53,2017,10/8/17,,5,,OAK,,BAL,L 17-30,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2017,10/15/17,6,6,26.201,OAK,,LAC,L 16-17,*,21,30,70,171,1,2,67.5,1,6,5.7,3.37,1,0,0,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,0,0,58,100%,0,0%,0,0%,
55,2017,10/19/17,7,7,26.205,OAK,,KAN,W 31-30,*,29,52,55.77,417,3,0,101.2,0,0,8.02,9.17,1,15,15,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,82,100%,0,0%,0,0%,
56,2017,10/29/17,8,8,26.215,OAK,@,BUF,L 14-34,*,31,49,63.27,313,1,2,71.2,0,0,6.39,4.96,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
57,2017,11/5/17,9,9,26.222,OAK,@,MIA,W 27-24,*,21,30,70,300,1,1,99.3,1,5,10,9.17,4,-3,-0.75,0,0,0,0,,0,0.00%,,0,0,2,0,0,0,-2,0,64,100%,0,0%,0,0%,
58,2017,11/19/17,10,11,26.236,OAK,,NWE,L 8-33,*,28,49,57.14,237,1,1,68.2,1,2,4.84,4.33,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,
59,2017,11/26/17,11,12,26.243,OAK,,DEN,W 21-14,*,18,24,75,253,2,0,136.3,2,9,10.54,12.21,3,-3,-1,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,68,100%,0,0%,0,0%,
60,2017,12/3/17,12,13,26.25,OAK,,NYG,W 24-17,*,22,36,61.11,287,1,0,95.5,1,5,7.97,8.53,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
61,2017,12/10/17,13,14,26.257,OAK,@,KAN,L 15-26,*,24,41,58.54,211,1,2,60.1,3,13,5.15,3.44,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
62,2017,12/17/17,14,15,26.264,OAK,,DAL,L 17-20,*,21,38,55.26,171,2,0,84.4,0,0,4.5,5.55,4,47,11.75,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,66,100%,0,0%,0,0%,
63,2017,12/25/17,15,16,26.272,OAK,@,PHI,L 10-19,*,15,29,51.72,140,1,2,48.1,1,3,4.83,2.41,3,3,1,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,67,100%,0,0%,0,0%,
64,2017,12/31/17,16,17,26.278,OAK,@,LAC,L 10-30,*,19,28,67.86,243,1,1,91.8,2,12,8.68,7.79,2,1,0.5,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,54,100%,0,0%,0,0%,
65,2018,9/10/18,1,1,27.166,OAK,,LAR,L 13-33,*,29,40,72.5,303,0,3,62.8,1,3,7.58,4.2,2,1,0.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
66,2018,9/16/18,2,2,27.172,OAK,@,DEN,L 19-20,*,29,32,90.63,288,1,0,114.6,1,7,9,9.63,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
67,2018,9/23/18,3,3,27.179,OAK,@,MIA,L 20-28,*,27,39,69.23,345,1,2,83.8,3,20,8.85,7.05,2,-2,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,
68,2018,9/30/18,4,4,27.186,OAK,,CLE,W 45-42,*,35,58,60.34,437,4,2,92.4,3,11,7.53,7.36,2,1,0.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,92,100%,0,0%,0,0%,
69,2018,10/7/18,5,5,27.193,OAK,@,LAC,L 10-26,*,24,33,72.73,268,1,1,94,3,20,8.12,7.36,1,5,5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,
70,2018,10/14/18,6,6,27.2,OAK,,SEA,L 3-27,*,23,31,74.19,142,0,0,83,6,36,4.58,4.58,4,31,7.75,0,0,0,0,,0,0.00%,,0,0,2,2,0,0,0,0,60,100%,0,0%,0,0%,
71,2018,10/28/18,7,8,27.214,OAK,,IND,L 28-42,*,21,28,75,244,3,0,136.6,0,0,8.71,10.86,2,0,0,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,50,100%,0,0%,0,0%,
72,2018,11/1/18,8,9,27.218,OAK,@,SFO,L 3-34,*,16,21,76.19,171,0,0,99.5,7,32,8.14,8.14,3,5,1.67,0,0,0,0,,0,0.00%,,0,0,2,0,0,1,0,0,47,82%,0,0%,0,0%,
73,2018,11/11/18,9,10,27.228,OAK,,LAC,L 6-20,*,24,37,64.86,243,0,0,83.5,4,40,6.57,6.57,2,2,1,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,63,100%,0,0%,0,0%,
74,2018,11/18/18,10,11,27.235,OAK,@,ARI,W 23-21,*,19,31,61.29,192,2,0,100.5,4,19,6.19,7.48,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
75,2018,11/25/18,11,12,27.242,OAK,@,BAL,L 17-34,*,16,34,47.06,194,1,0,74.9,3,12,5.71,6.29,0,0,,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,56,97%,0,0%,0,0%,
76,2018,12/2/18,12,13,27.249,OAK,,KAN,L 33-40,*,29,38,76.32,285,3,0,123.2,3,14,7.5,9.08,1,8,8,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,76,100%,0,0%,0,0%,
77,2018,12/9/18,13,14,27.256,OAK,,PIT,W 24-21,*,25,34,73.53,322,2,0,122.4,4,23,9.47,10.65,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,67,100%,0,0%,0,0%,
78,2018,12/16/18,14,15,27.263,OAK,@,CIN,L 16-30,*,21,38,55.26,263,1,0,85.7,5,34,6.92,7.45,0,0,,0,1,1,-9,-9,0,100.00%,-9,0,0,1,1,0,0,0,0,59,100%,0,0%,0,0%,
