,,,,,,,,,,,Passing,,,,,,,,,,,Rushing,,,,Receiving,,,,,,,Scoring,,,,Tackles,,,,,Fumbles,,,,,,Off. Snaps,,Def. Snaps,,ST Snaps,,
Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,9/13/20,1,1,,PHI,@,WAS,L 17-27,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020,9/20/20,2,2,22.044,PHI,,LAR,L 19-37,,,,,,,,,,,,,,,,,,,,,,0.00%,,,0,0,,,,,,,0,,,0,0,0,3,4%,0,0%,0,0%,
3,2020,9/27/20,3,3,22.051,PHI,,CIN,T 23-23,,0,0,,0,0,0,,0,0,,,2,5,2.5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,1,-4,0,3,3%,0,0%,0,0%,
4,2020,10/4/20,4,4,22.058,PHI,@,SFO,W 25-20,,0,0,,0,0,0,,0,0,,,3,18,6,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,1,-8,0,4,6%,0,0%,0,0%,
5,2020,10/11/20,5,5,22.065,PHI,@,PIT,L 29-38,,1,1,100,18,0,0,118.7,0,0,18,18,0,0,,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,0,0%,
6,2020,10/18/20,6,6,22.072,PHI,,BAL,L 28-30,,0,0,,0,0,0,,0,0,,,2,23,11.5,0,1,1,3,3,0,100.00%,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10%,0,0%,0,0%,
7,2020,10/22/20,7,7,22.076,PHI,,NYG,W 22-21,,0,0,,0,0,0,,0,0,,,2,2,1,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6%,0,0%,0,0%,
8,2020,11/1/20,8,8,22.086,PHI,,DAL,W 23-9,,1,1,100,9,0,0,104.2,0,0,9,9,0,0,,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,0,0%,
9,2020,11/15/20,9,10,22.1,PHI,@,NYG,L 17-27,,0,0,,0,0,0,,0,0,,,2,-1,-0.5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4%,0,0%,0,0%,
10,2020,11/22/20,10,11,22.107,PHI,@,CLE,L 17-22,,0,0,,0,0,0,,0,0,,,1,6,6,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1%,0,0%,0,0%,
11,2020,11/30/20,11,12,22.115,PHI,,SEA,L 17-23,,1,1,100,6,0,0,91.7,0,0,6,6,0,0,,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,0,0%,
12,2020,12/6/20,12,13,22.121,PHI,@,GNB,L 16-30,,5,12,41.67,109,1,1,67.7,3,5,9.08,7,5,29,5.8,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,42%,0,0%,0,0%,
13,2020,12/13/20,13,14,22.128,PHI,,NOR,W 24-21,*,17,30,56.67,167,1,0,83.6,0,0,5.57,6.23,18,106,5.89,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,69,100%,0,0%,0,0%,
14,2020,12/20/20,14,15,22.135,PHI,@,ARI,L 26-33,*,24,44,54.55,338,3,0,102.3,6,33,7.68,9.05,11,63,5.73,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,3,0,0,1,0,0,83,99%,0,0%,0,0%,
15,2020,12/27/20,15,16,22.142,PHI,@,DAL,L 17-37,*,21,39,53.85,342,1,2,70.7,3,16,8.77,6.97,9,69,7.67,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,73,100%,0,0%,0,0%,
16,2020,1/3/21,16,17,22.149,PHI,,WAS,L 14-20,*,7,20,35,72,0,1,25.4,1,5,3.6,1.35,8,34,4.25,2,0,0,0,,0,0.00%,,,2,12,0,0,0,0,0,0,0,0,0,0,0,0,50,74%,0,0%,0,0%,
17,2021,9/12/21,1,1,23.036,PHI,@,ATL,W 32-6,*,27,35,77.14,264,3,0,126.4,1,3,7.54,9.26,7,62,8.86,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,2,0,0,71,100%,0,0%,0,0%,
18,2021,9/19/21,2,2,23.043,PHI,,SFO,L 11-17,*,12,23,52.17,190,0,0,80,2,13,8.26,8.26,10,82,8.2,1,1,0,0,,0,0.00%,0,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,58,100%,0,0%,0,0%,
19,2021,9/27/21,3,3,23.051,PHI,@,DAL,L 21-41,*,25,39,64.1,326,2,2,86.1,2,23,8.36,7.08,9,35,3.89,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,
20,2021,10/3/21,4,4,23.057,PHI,,KAN,L 30-42,*,32,48,66.67,387,2,0,105.1,3,29,8.06,8.9,8,47,5.88,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74,100%,0,0%,0,0%,
21,2021,10/10/21,5,5,23.064,PHI,@,CAR,W 21-18,*,22,37,59.46,198,0,1,62.7,2,16,5.35,4.14,9,30,3.33,2,0,0,0,,0,0.00%,,,2,12,0,0,0,0,0,0,1,0,0,0,-16,0,67,100%,0,0%,0,0%,
22,2021,10/14/21,6,6,23.068,PHI,,TAM,L 22-28,*,12,26,46.15,115,1,1,55.8,2,2,4.42,3.46,10,44,4.4,2,0,0,0,,0,0.00%,,,2,12,0,0,0,0,0,0,0,0,0,0,0,0,52,100%,0,0%,0,0%,
23,2021,10/24/21,7,7,23.078,PHI,@,LVR,L 22-33,*,18,34,52.94,236,2,0,94.7,2,13,6.94,8.12,13,61,4.69,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,1,0,0,-5,0,69,100%,0,0%,0,0%,
24,2021,10/31/21,8,8,23.085,PHI,@,DET,W 44-6,*,9,14,64.29,103,0,0,86.3,0,0,7.36,7.36,7,71,10.14,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,78%,0,0%,0,0%,
25,2021,11/7/21,9,9,23.092,PHI,,LAC,L 24-27,*,11,17,64.71,162,1,0,115.3,1,7,9.53,10.71,10,62,6.2,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,
26,2021,11/14/21,10,10,23.099,PHI,@,DEN,W 30-13,*,16,23,69.57,178,2,1,103.2,2,8,7.74,7.52,13,55,4.23,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,1,-2,0,64,100%,0,0%,0,0%,
27,2021,11/21/21,11,11,23.106,PHI,,NOR,W 40-29,*,13,24,54.17,147,0,0,72.7,3,9,6.13,6.13,18,69,3.83,3,0,0,0,,0,0.00%,,,3,18,0,0,0,0,0,0,0,0,0,0,0,0,78,100%,0,0%,0,0%,
28,2021,11/28/21,12,12,23.113,PHI,@,NYG,L 7-13,*,14,31,45.16,129,0,3,17.5,1,5,4.16,-0.19,8,77,9.63,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
29,2021,12/5/21,13,13,,PHI,@,NYJ,W 33-18,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2021,12/21/21,14,15,23.136,PHI,,WAS,W 27-17,*,20,26,76.92,296,1,1,110.4,3,15,11.38,10.42,8,38,4.75,2,0,0,0,,0,0.00%,,,2,12,0,0,0,0,0,0,2,1,0,0,0,0,71,100%,0,0%,0,0%,
31,2021,12/26/21,15,16,23.141,PHI,,NYG,W 34-10,*,17,29,58.62,199,2,0,102.5,1,5,6.86,8.24,2,7,3.5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,56,89%,0,0%,0,0%,
32,2021,1/2/22,16,17,23.148,PHI,@,WAS,W 20-16,*,17,26,65.38,214,0,0,90.9,1,2,8.23,8.23,7,44,6.29,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
33,2021,1/8/22,17,18,,PHI,,DAL,L 26-51,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2022,9/11/22,1,1,24.035,PHI,@,DET,W 38-35,*,18,32,56.25,243,0,0,80.6,1,4,7.59,7.59,17,90,5.29,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,
35,2022,9/19/22,2,2,24.043,PHI,,MIN,W 24-7,*,26,31,83.87,333,1,1,108.7,3,10,10.74,9.94,11,57,5.18,2,0,0,0,,0,0.00%,,,2,12,0,0,0,0,0,0,1,0,0,0,0,0,73,100%,0,0%,0,0%,
36,2022,9/25/22,3,3,24.049,PHI,@,WAS,W 24-8,*,22,35,62.86,340,3,0,123.5,3,12,9.71,11.43,9,20,2.22,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
37,2022,10/2/22,4,4,24.056,PHI,,JAX,W 29-21,*,16,25,64,204,0,1,72.7,2,13,8.16,6.36,16,38,2.38,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,1,0,0,0,-7,0,82,100%,0,0%,0,0%,
38,2022,10/9/22,5,5,24.063,PHI,@,ARI,W 20-17,*,26,36,72.22,239,0,0,89.9,2,21,6.64,6.64,15,61,4.07,2,0,0,0,,0,0.00%,,,2,12,0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
39,2022,10/16/22,6,6,24.07,PHI,,DAL,W 26-17,*,15,25,60,155,2,0,104.6,4,23,6.2,7.8,9,27,3,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,1,-6,0,71,100%,0,0%,0,0%,
40,2022,10/30/22,7,8,24.084,PHI,,PIT,W 35-13,*,19,28,67.86,285,4,0,140.6,3,18,10.18,13.04,2,10,5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,81%,0,0%,0,0%,
41,2022,11/3/22,8,9,24.088,PHI,@,HOU,W 29-17,*,21,27,77.78,243,2,0,128.9,4,26,9,10.48,9,23,2.56,0,0,0,0,,0,0.00%,,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,65,100%,0,0%,0,0%,
42,2022,11/14/22,9,10,24.099,PHI,,WAS,L 21-32,*,17,26,65.38,175,2,1,94.2,1,5,6.73,6.54,6,28,4.67,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,50,100%,0,0%,0,0%,
43,2022,11/20/22,10,11,24.105,PHI,@,IND,W 17-16,*,18,25,72,190,1,0,107.1,3,17,7.6,8.4,16,86,5.38,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,2,1,0,1,0,0,68,100%,0,0%,0,0%,
44,2022,11/27/22,11,12,24.112,PHI,,GNB,W 40-33,*,16,28,57.14,153,2,0,96.3,2,16,5.46,6.89,17,157,9.24,0,0,0,0,,0,0.00%,,,0,0,0,1,0,1,0,0,1,0,0,0,0,0,80,100%,0,0%,0,0%,
45,2022,12/4/22,12,13,24.119,PHI,,TEN,W 35-10,*,29,39,74.36,380,3,0,130.3,2,5,9.74,11.28,5,12,2.4,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,64,88%,0,0%,0,0%,
46,2022,12/11/22,13,14,24.126,PHI,@,NYG,W 48-22,*,21,31,67.74,217,2,0,109.2,4,33,7,8.29,7,77,11,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,63,93%,0,0%,0,0%,
47,2022,12/18/22,14,15,24.133,PHI,@,CHI,W 25-20,*,22,37,59.46,315,0,2,64.6,1,6,8.51,6.08,17,61,3.59,3,0,0,0,,0,0.00%,,1,3,20,0,1,0,1,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
48,2022,12/24/22,15,16,,PHI,@,DAL,L 34-40,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2022,1/1/23,16,17,,PHI,,NOR,L 10-20,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2022,1/8/23,17,18,24.154,PHI,,NYG,W 22-16,*,20,35,57.14,229,0,1,65.1,3,22,6.54,5.26,9,13,1.44,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
51,2023,9/10/23,1,1,25.034,PHI,@,NWE,W 25-20,*,22,33,66.67,170,1,0,89.2,3,16,5.15,5.76,9,37,4.11,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,66,100%,0,0%,0,0%,
52,2023,9/14/23,2,2,25.038,PHI,,MIN,W 34-28,*,18,23,78.26,193,1,1,98,4,22,8.39,7.3,12,35,2.92,2,0,0,0,,0,0.00%,,,2,12,0,0,0,0,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,
53,2023,9/25/23,3,3,25.049,PHI,@,TAM,W 25-11,*,23,37,62.16,277,1,2,71.6,1,6,7.49,5.59,10,28,2.8,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,80,100%,0,0%,0,0%,
54,2023,10/1/23,4,4,25.055,PHI,,WAS,W 34-31,*,25,37,67.57,319,2,0,112.3,3,8,8.62,9.7,9,34,3.78,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
55,2023,10/8/23,5,5,25.062,PHI,@,LAR,W 23-14,*,25,38,65.79,303,1,1,87.9,1,8,7.97,7.32,15,72,4.8,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,79,100%,0,0%,0,0%,
56,2023,10/15/23,6,6,25.069,PHI,@,NYJ,L 14-20,*,28,45,62.22,280,1,3,59.5,2,12,6.22,3.67,8,47,5.88,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
57,2023,10/22/23,7,7,25.076,PHI,,MIA,W 31-17,*,23,31,74.19,279,2,1,109.5,3,23,9,8.84,11,21,1.91,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,1,1,0,0,0,0,72,100%,0,0%,0,0%,
58,2023,10/29/23,8,8,25.083,PHI,@,WAS,W 38-31,*,29,38,76.32,319,4,0,135.7,2,4,8.39,10.5,4,6,1.5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,63,100%,0,0%,0,0%,
59,2023,11/5/23,9,9,25.09,PHI,,DAL,W 28-23,*,17,23,73.91,207,2,0,130.2,3,24,9,10.74,10,36,3.6,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,1,0,0,1,0,0,62,100%,0,0%,0,0%,
60,2023,11/20/23,10,11,25.105,PHI,@,KAN,W 21-17,*,14,22,63.64,150,0,1,64.6,5,26,6.82,4.77,12,29,2.42,2,0,0,0,,0,0.00%,,,2,12,0,0,0,0,0,0,1,0,0,1,0,0,56,100%,0,0%,0,0%,
61,2023,11/26/23,11,12,25.111,PHI,,BUF,W 37-34,*,18,31,58.06,200,3,1,96.2,2,7,6.45,6.94,14,65,4.64,2,0,0,0,,0,0.00%,,,2,12,0,0,0,0,0,0,1,1,0,0,-3,0,66,100%,0,0%,0,0%,
62,2023,12/3/23,12,13,25.118,PHI,,SFO,L 19-42,*,26,45,57.78,298,1,0,85.2,3,27,6.62,7.07,7,20,2.86,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,1,0,0,1,0,0,67,93%,0,0%,0,0%,
,,57 Games,,,,,,,36-20-1,,916,1443,63.48,10901,63,29,92.6,109,623,7.55,7.52,488,2328,4.77,38,2,1,3,3,0,50.00%,1.5,2,38,232,0,2,0,2,0,0,34,10,0,11,-51,0,,,,,,,